Key,Type,Desc,English,Chinese (Simplified),Afrikaans,Amharic ,Arabic,Azerbaijani,Belarusian,Bulgarian [bg],Bangla [bn],Catalan,Czech,Danish,German [de-DE],Greek,Spanish (Spain),Spanish (United States) [es-US],Estonian,Basque [eu-ES],Persian,Finnish,French (Canada),French (France),Galician [gl-ES],Gujarati,Hebrew,Hindi,Croatian,Hungarian,Armenian,Indonesian,Icelandic,Italian [it-IT],Japanese,Georgian,Kazakh,Khmer,Kannada,Korean,Kyrgyz (Cyrillic) [ky],Lao,Lithuanian,Latvian,Macedonian (FYROM) [mk],Malayalam,Mongolian,Marathi,Malay,Malay (Malaysia),Burmese,Norwegian,Nepali,Dutch [nl-NL],Punjabi,Polish,Portuguese (Brazil),Portuguese (Portugal),Romanian,Russian,Sinhala,Slovak,Slovenian,Albanian,Serbian,Swedish [sv-SE],Swahili,Tamil,Telugu,Thai,Tagalog,Turkish,Ukrainian,Urdu,Vietnamese,Chinese (Hong Kong),Chinese (Traditional),Zulu
S_answer_Des_level_38,Text,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_39,Text,,"Swipe left, then tap the switch.",向左划，然后点击开关。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_40,Text,,Turn the page from the bottom-right corner of the screen,揭开屏幕右下角的书页。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_41,Text,,"Drag the first two platform, use them to get higher.
then move right, jump down, and head left .",拖动前两个平台，利用平台到高处。然后向右，跳下，最后向左进门,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_42,Text,,Tap the pause button to stop the balloon's movement .,按下暂停按钮来让气球暂停。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_43,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_44,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_52,Text,,"Rub the woodpile with your finger, 
then move to push the frozen door to the fire you created !","用你的手指摩擦木堆，
然后把冻住的门推向你生的火！",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_01,Text,,Enter and you'll reach your destination !,去向你的目的地吧！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_02,Text,,"With a YELLOW key, you can open 
ALL door locks !",拥有一把万能钥匙，你可以打开所有的锁！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_03,Text,,Step on the crate to jump to the higher ground !,踩在箱子上跳到更高的地方！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_04,Text,,"Knock, knock, is anyone home?",你好，有人在家吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_05,Text,,This reminds me of a game I've played. . .,这让我想起了我玩过的一款游戏……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_06,Text,,This reminds me of a game I've played . . .,这让我想起了我玩过的一款游戏……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_07,Text,,Sometimes you really need some brute force to solve a problem !,有时候你真的需要一些蛮力来解决问题！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_08,Text,,It was fake after all . . .,原来一切都是假的……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_09,Text,,Double jump !,梯云纵！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_10,Text,,What's behind the locked door?,锁上的门后有什么呢？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_11,Text,,I want a castle carried away by balloons !,我真想要一个会像这样飞走的城堡。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_12,Text,,That's indeed a suitable stepping stone .,那真是不错的垫脚石。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_13,Text,,"Right . 
I finally got it right .",我右走对啦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_14,Text,,"Though I got completely soaked, the fountain was really fun !",虽然我全身湿透了，但喷泉真好玩！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_15,Text,,"Rules are made 
to be broken ! 
Like buildings ! 
Or people !",规则，就是用来打破的！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_16,Text,,"Why are there no fish in the water. . .
A deeper dream?",水里为什么没有鱼...这不会是下一层梦境吧。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_17,Text,,Run ! It's a dog !,快跑！有只狗！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_18,Text,,"Almost hooked on unboxing .
Someone said ""YELLOW key"" before?",开盲盒还挺令人上瘾的！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_19,Text,,"It really is a kind of ""relative motion"" . . .",确实是一次“相对运动”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_20,Text,,I think I need a spinning top totem to tell what's real . ,我觉得我需要一个陀螺图腾来分辨现实和梦境。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_21,Text,,"It's late at night ! 
Keep your 
voice down !",夜深了，别扰民哟~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_22,Text,,"Why can I step on air? 
Wait. . . Is Translucent here?",我可没学凌波微步啊，等等，隐形人不会在这里吧。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_23,Text,,"Wait, this looks like the Limbo . Are we even going deeper？",等一下，这已经很像迷失域了，难道我们还要往更深层走吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_24,Text,,I almost got flushed out with the water. . .,好险，差点被冲走了……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_25,Text,,"""What a swiper so playful !""",真是调皮的捣蛋鬼!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_26,Text,,The power of words !,字字珠玑！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_27,Text,,I like the masks in the middle . . .,我喜欢那些面具。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_28,Text,,I'm practically a superhero already ! Should’ve worked with Peter Parker . ,我原来已经是超级英雄了，早知如此该和蜘蛛侠合作的。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_29,Text,,"I bet nobody can do it in under 
9.6 seconds . 
Wait ... no way !",我赌一包辣条，没人能跑进9秒6。慢着……这怎么可能？！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_30,Text,,What kind of door do these two keys open?,另外两把钥匙能开什么门呢？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_31,Text,,"Just heard him talking about holding a charity lunch : 
pay-per-second .",刚听说他要办个按秒收费的慈善午餐。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_32,Text,,"Then we can always regroup on the moon, silly !
 Right on the rabbit’s tummy .",“那么我们总会在月亮上相遇的，傻瓜！就在小兔子的肚子那里”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_33,Text,,Looks like I'm the lucky one myself !,看起来我自己就是那个幸运儿！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_34,Text,,Stuck on too loosely...,固定得不够紧。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_35,Text,,"So the biggest number was here 
all along .",原来最大的数字一直在这里。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_36,Text,,"Follow the rules , 
stay safe !",请遵守交规，保护自身安全！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_37,Text,,I said I am not a Robot !,说了我不是机器人！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_39,Text,,Now the fan is powerless !,现在这个风扇就没力气了！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_40,Text,,"Based on a lesson I learned recently: April Fools'.
I think I am fooled.","根据我最近学到的愚人节教训。
我被耍了。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_41,Text,,"Right . 
I finally got it right . . . Again !",我再一次选对了路！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_42,Text,,Abracadabra ! stop !,嘛哩嘛哩哄！定！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_congraktTips_Des_level_52,Text,,Old-school power ! Only heard in some stories .,这种远古之力我只在传说里听过。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_test,Text,,test,测试,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Loading_Des_01,Text,,Loading...,加载中……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Loading_Btn_Start,Text,,PLAY!!,开始!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Settings_Title_01,Text,,Settings,设置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Settings_Btn_Language,Text,,Language,语言,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Settings_Privacy,Text,,Privacy Policy,隐私协议,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Settings_Termes,Text,,Terms of Use,服务条款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Settings_Des_01,Text,,Follow Us,支持我们,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Settings_Des_02,Text,,Contact us,联系我们,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_LevelSelection_Title_01,Text,,Level Selection,关卡选择,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_LevelBoard_Des_01,Text,,LEVEL,关卡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Paused_Title_01,Text,,Paused,暂停,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Paused_Btn_Language,Text,,Language,语言,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Paused_Btn_Menu,Text,,Menu,菜单,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Paused_Btn_Resume,Text,,Resume,继续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_GetTips_Des_01,Text,,"Use a ""bulb"" to get a hint?",使用一个“灯泡”来获取提示？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Common_Btn_No,Text,,No,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Common_Btn_Yes,Text,,Yes,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_GetTips_Des_02,Text,,"Watch a video to get a free ""bulb""?",看视频免费获得一个“灯泡”？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Common_Btn_Skip,Text,,Skip,跳过,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Congratulations_Btn_01,Text,,Next Level,下一关,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Congratulations_Title_01,Text,,Congratulations,恭喜！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Shop_Title_01,Text,,Shop,商店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Shop_GoodsTitle_NoAds,Text,,Remove Ads,移除广告,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Shop_GoodsDes_NoAds,Text,,"Remove all ads except for reward ads,allows offline play.",移除所有广告，除了奖励广告，允许离线游戏。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Shop_GoodsTitle_Bulbs_01,Text,,{0} bulbs,{0}个灯泡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Shop_GoodsTitle_Bulbs_02,Text,,{0} bulbs,{0}个灯泡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Shop_GoodsTitle_Bulbs_03,Text,,∞ bulbs,∞灯泡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Shop_GoodsDes_Bulbs_01,Text,,Pack of {0} bulbs.Use them whenever you are puzzled.,包含{0}个灯泡的包装。在你困惑时使用它们。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Shop_GoodsDes_Bulbs_02,Text,,Pack of {0} bulbs.Use them whenever you are puzzled terribly.,包含{0}个灯泡的包装。在你很困惑时使用它们。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Shop_GoodsDes_Bulbs_03,Text,,A life time supply of light bulbs!You will never be puzzled again!,无限的灯泡供应！你将再也不必困惑了！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Shop_NoAds_Des_01,Text,,Remove Interstitial Ads,移除所有非奖励视频,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Shop_NoAds_Title_01,Text,,No Ads,去广告,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Shop_Restore_Tips_01,Text,,Your purchase has been restored.,已恢复您的购买。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Shop_Restore_Btn_01,Text,,Restore Purchase,恢复购买,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Shop_Unavailable,Text,,Unavailable,无法购买,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Annouce_des_01,Text,,Level {0},第{0}关,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_HurryTips_Des_level_06,Text,,Password correct!,密码正确！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_HurryTips_Des_level_35,Text,,{0} is not the largest number.,{0}不是最大的数字。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_HurryTips_Shop_succeed,Text,,Purchase successful!,购买成功！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_HurryTips_Shop_failed,Text,,purchase failed!,购买失败！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_HurryTips_GetAnswer_succeed,Text,,Got a light bulb!,成功得到了一个灯泡！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_HurryTips_GetAnswer_failed,Text,,Failed to obtain reward.,获取奖励失败。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_HurryTips_RewardVideo_failed,Text,,"Failed to play reward video ,please try again later.",奖励视频获取失败，请重试。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_HurryTips_RewardVideo_succeed,Text,,Reward video played successfully!,奖励视频播放成功！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Loading_Des_Step01,Text,开始游戏,Let's go!,出发吧！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Loading_Des_Step02,Text,请求资源版本！,Opening a new picture book...,翻开新的绘本...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Loading_Des_Step03,Text,更新资源清单！,Drawing the floor...,正在绘制地板...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Loading_Des_Step04,Text,创建资源下载器！,Drawing the sky...,正在绘制天空...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Loading_Des_Step05,Text,开始下载资源文件！,Drawing the trees...,正在绘制树木...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Loading_Des_Step06,Text,资源文件下载完毕！,Combing the puppy's fur...,正在给小狗梳毛...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Loading_Des_Step07,Text,清理未使用的缓存文件！,Looking around bored...,正在无聊的左顾右盼...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Loading_Des_Step08,Text,初始化资源包！,Initialize Package,主角正在来的路上...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Quit_Title_01,Text,,Quit?,退出？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Quit_Des_01,Text,,Are you sure you want to exit the game?,确定退出游戏吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Rate_Btn_01,Text,,Submit,提交,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Rate_Des_01,Text,,Are you enjoying the game?   Rate us!,游戏好玩吗？评价下我们！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Rate_Des_02,Text,5 星感谢,Thank you!\nYour support really means a lot.,感谢，你的支持。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Rate_Des_03,Text,4 星感谢,Thank you!\nPlease leave your opinion.\nIt will help us make the game better!,感谢！请留下你的意见，让我们的游戏更完美。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_Rate_Des_04,Text,3星及以下,"Sorry to hear that, \nPlease tell us what's wrong.\nIt will help us make the game better!",抱歉！请告诉我们哪里不好，让我们改进您的体验。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
